genere_categoria,nome_categoria,nome,prezzo_originale,prezzo_scontato,immagine,link
Donna,Dècolletè,Décolleté donna slingback in pelle nappetta nero d166z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D166Z-245157-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-nappetta-nero-d166z-d166z-245157.html
Donna,Dècolletè,Décolleté donna slingback in pelle nappetta blu abyss d166z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D166Z-245790-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-nappetta-blu-abyss-d166z-d166z-245790.html
Donna,Dècolletè,Décolleté donna slingback in pelle fondotinta d166z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D166Z-246414-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-fondotinta-d166z-d166z-246414.html
Donna,Dècolletè,Décolleté donna slingback in pelle carne d166z,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D166Z-246457-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-carne-d166z-d166z-246457.html
Donna,Dècolletè,Décolleté donna slingback in pelle verlux nero d166z,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D166Z-246741-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-verlux-nero-d166z-d166z-246741.html
Donna,Dècolletè,Décolleté donna slingback in pelle bianco d166z,Nan,,https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D166Z-247736-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-bianco-d166z-d166z-247736.html
Donna,Dècolletè,Décolleté donna slingback in tessuto galassia blu notte d168zv,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D168ZV-247472-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-tessuto-galassia-blu-notte-d168zv-d168zv-247472.html
Donna,Dècolletè,Décolleté donna slingback in pelle milk d168zv,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D168ZV-247220-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-milk-d168zv-d168zv-247220.html
Donna,Dècolletè,Décolleté donna slingback in tessuto argento d168zv,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D168ZV-247215-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-tessuto-argento-d168zv-d168zv-247215.html
Donna,Dècolletè,Décolleté donna slingback in pelle blu notte d168zv,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D168ZV-247219-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-blu-notte-d168zv-d168zv-247219.html
